eng_input,eng_label,match_using_label,match_using_sentence,heb_input,heb_label
My motivation was to create,Base,1,1,המוטיבציה שלי היתה ליצור,בסיס
Along with them they also served,Horsemen,1,1,יחד עמם שירתו גם,פרשים
The license requires the purchase of licenses,For use,1,1,הרישיון מחייב רכישת רישיונות,לשימוש
Portrait photography is an industry,Common,0,1,צילומי דיוקן היא תעשייה,נפוצה
Although it is a pity,That they,1,1,אף על פי שחבל,שהם
"As such, there is currently no",Garlic,1,1,לפי כך אין כיום,שום
"As a result, the advisor",Legal,0,1,בעקבות כך הורה היועץ,המשפטי
For all other questions as well.,Yours,1,1,גם לכל שאר השאלות,שלך
Maybe their place is about another,About,0,1,אולי מקומם בערך אחר,על
But social justice wants,Everybody.,1,1,אך בצדק חברתי רוצים,כולם
At the end of high school she went,Learn,0,1,בתום לימודיה התיכוניים הלכה,ללמוד
Wikipedia is not a place for advertising.,Studies,1,1,ויקיפדיה איננה מקום לפרסום,מחקרים
I want to add value,New,1,1,אני רוצה להוסיף ערך,חדש
To raise a player adds,Amount,1,1,כדי להעלות שחקן מוסיף,סכום
Anyway why are you,Don't,0,1,בכל מקרה למה אתה,לא
This is the name of,The City,1,1,זהו מבחינתי שמה של,העיר
I don't think two,Sentences,1,1,אני לא חושב ששני,משפטים
Now I'm working on,The Design,1,1,עכשיו אני עובד על,העיצוב
"As for memory, I am always",Enjoy,0,1,לגבי זכרון אני תמיד,נהנה
See for example a book of names.,Chapter,1,1,ראו למשל ספר שמות,פרק
Eight other flowers appear,In frame,1,1,שמונה פרחים אחרים מופיעים,במסגרת
The English Wiki 1 has,Just,1,1,בויקי האנגלית 1 יש,רק
Describes the development there,The Structure,1,1,מתאר שם את התפתחות,המבנה
Alan Bean Extended Value,Alan.,1,1,אלן בין ערך מורחב,אלן
It is difficult for website owners to back up,Money,1,1,קשה לבעלי אתרים לגבות,כסף
Gladly ready to pick up,The Glove,1,1,מוכן בשמחה להרים את,הכפפה
Sometimes lacking in the state of,Sub,0,1,לעתים חסר במצב של,תת
Served in office for a few months,Only,0,1,כיהן בתפקיד חודשים ספורים,בלבד
"About a week later, it was confirmed",Actually,1,1,כשבוע לאחר מכן אושרה,למעשה
More Holidays Adler Some,Links,1,1,נוספים חגי אדלר כמה,קישורים
From here you will make a reference to the value,Extended,1,1,מכאן תעשה הפניה לערך,מורחב
"However, these things are not",Standing,0,1,אולם דברים אלו אינם,עומדים
He excelled in defense,Odessa,0,1,הוא הצטיין בעת הגנת,אודסה
They seem legitimate to you.,Over,1,1,הם נראים לכם לגיטימיים,עבור
I'll link to it.,Now,1,1,אני אעשה לזה לינק,עכשיו
Before moving to a vote we,Offers,0,1,לפני העברה להצבעה אנו,מציעים
On his game in both series,There was,1,1,על משחקו בשתי הסדרות,היה
International Film Festival in Ashdod,Ino,0,1,פסטיבל הקולנוע הבינלאומי באשדוד,אינו
Uncle Shay White Nature,There is,1,1,דוד שי לבן הטבע,יש
There are many pictures and only,One,1,1,בערך תמונות רבות ורק,אחת
This section is intended to prevent,Usage,1,1,סעיף זה נועד למנוע,שימוש
Family life Broccoli married,Three.,1,1,חיי המשפחה ברוקולי נישא,שלוש
The competition was attended by season winners,The first,0,1,בתחרות השתתפו זוכי העונה,הראשונה
The theme of her thesis was,Management,1,1,נושא התזה שלה היה,ניהול
His Life History This Chapter,Luka,1,1,תולדות חייו פרק זה,לוקה
There was no,Change,1,1,הרי לא חל שום,שינוי
According to this also Avshalom,Feinberg,0,1,לפי זה גם אבשלום,פיינברג
"In these cities, the Jews",Percent,1,1,בערים אלה היוו היהודים,אחוז
A beautiful woman was,What?,1,1,הביאו בחורה יפה היה,מה
I set the value on,Fi,1,1,ערכתי את הערך על,פי
In light of the two erasures the mother,There is,1,1,לאור שתי המחיקות האם,יש
So why say,Something,1,1,בכ ז למה להגיד,משהו
"For the first time, a school was established.",For children,1,1,לראשונה הקימו בית ספר,לילדים
Since the year of Tishas used,As President,1,1,מאז שנת תשס משמש,כנשיא
Is it funny or,Don't,0,1,האם זה מצחיק או,לא
The Zionist Herzl has already appeared,Previously,0,1,הציוני הרצל כבר הופיע,בעבר
The horse breed they used,The British,1,1,גזע הסוסים שבו השתמשו,הבריטים
Without references must be deleted,Part,1,1,ללא אסמכתאות יש למחוק,חלק
I don't think it's,Interrupting,0,1,אני לא חושב שזה,מפריע
What the IDF defines is,Torah,1,1,מה שצהל מגדיר הוא,תורה
He built a university institute,New,1,1,הוא בנה באוניברסיטה מכון,חדש
North American Executive Offices,There will be,0,1,משרדי הנהלת צפון אמריקה,יהיו
The results must also be,Favors,0,1,גם התוצאות חייבות להיות,טובות
Local government was a future.,To be selected,0,1,השלטון המקומי היה עתיד,להיבחר
The scientist is no less important.,From him,1,1,המדען לא פחות חשוב,ממנו
You can just write.,The things,1,1,אפשר פשוט לכתוב את,הדברים
All Couples on the Professions,Miscellaneous,0,1,כל הזוגות שעל המקצועות,שונים
The Angel of Death in Christianity Chapter,It's,1,1,מלאך המוות בנצרות פרק,זה
Unlike tens of thousands of games.,Network,1,1,בניגוד לעשרות אלפי משחקי,רשת
An experiment was also mentioned in the notes,Philadelphia,1,1,בהערות הוזכר גם ניסוי,פילדלפיה
"In my opinion, yes, the house was",His,1,1,לדעתי כן הבית היה,שלו
The question of why diseases,These,1,1,לשאלה מדוע דווקא מחלות,אלה
To operate a youth village,Required,1,1,לשם הפעלת כפר נוער,נדרש
Values that are unimportant are not,The Problem,1,1,ערכים לא חשובים אינם,הבעיה
His mother was a farewell daughter,Pinhas,0,1,אמו הייתה פרידה בת,פנחס
And that's why you went to write,Values,1,1,ובגלל זה הלכת לכתוב,ערכים
Today can also refer to,Period,0,1,כיום יכול להתייחס גם,לתקופה
And how exactly to use the Explorer,If,1,1,ואיך בדיוק להשתמש באקספלורר,אם
Is there a possibility for someone,Objection,1,1,האם יש אפשרות למישהו,התנגדות
Much more can be found.,Articles,1,1,אפשר למצוא עוד הרבה,מאמרים
All he's trying to do is,Promote,0,1,בסך הכל הוא מנסה,לקדם
After every stop should,Put,0,1,אחרי כל פסיק צריך,לשים
A clock is a clock.,For the need,1,1,שעון נוכחות הוא שעון,לצורך
Similarly the economic crisis,Interrupted,0,1,באופן דומה המשבר הכלכלי,הפריע
Legally a late change,of,1,1,מבחינה משפטית שינוי מאוחר,של
Well I don't remember,More,0,1,ובכן לא זכור לי,יותר
The current value is,Base,1,1,האם הערך הנוכחי הוא,בסיס
Information can be taken from there.,If,1,1,ניתן לקחת משם מידע,אם
There is also no organization.,Officially,0,1,כמו כן אין ארגון,רשמי
If it's that important,Allow,1,1,אם זה ככ חשוב,אפשר
Participants first guide the,The Program,1,1,משתתפים תחילה הנחה את,התוכנית
When sex is there,Family,1,1,כש סקס הוא שם,משפחה
There is currently no activity but,It's,1,1,אין כרגע פעילות אבל,זה
"Every day on Wikipedia, you learn.",At least,1,1,כל יום בויקיפדיה לומדים,לפחות
"As such, why not",Read,0,1,וכיוון שכך למה לא,לקרוא
Value Requires More Proofreading,And,1,1,הערך דורש עוד הגהה,ו
Rabbi Moshe Zvi Neriah,Head,1,1,הרב משה צבי נריה,ראש
There are no vestiges in place that allow,Locating,1,1,אין במקום שרידים המאפשרים,איתור
Partial treatment of a bad problem,May,1,1,טיפול חלקי בבעיה גרוע,מאי
New Users How Do I,Can,1,1,משתמשים חדשים איך אני,יכול
For the different versions it is there,In his opinion,1,1,לגרסאות השונות הוא שם,לדעתו
You can also find there,Sources,1,1,ניתן למצוא שם גם,מקורות
Including memory chapters for our son,Ariel,1,1,כולל פרקי זיכרון לבנו,אריאל
If there is anything beyond,To this,0,1,אם יש דבר מעבר,לזה
In fact it appears in thousands,Times,0,1,למעשה הוא מופיע אלפי,פעמים
Weekdays are also,Holiday,0,1,חג השבועות הוא גם,חג
Recent events show,How much,1,1,אירועי העת האחרונה מראים,כמה
The remains of this tower also,Existing,0,1,גם שרידי מגדל זה,קיימים
He seems to have,Story,1,1,עושה רושם שיש לו,סיפור
The first songs of,The Band,1,1,את שיריה הראשונים של,הלהקה
Here you can find,The Source,1,1,כאן תוכל למצוא את,המקור
Matan is the son of,Researcher,1,1,מתן הוא בנו של,חוקר
In the meantime reached the level of John,Machine,0,1,בינתיים הגיעה לרמת יוחנן,מכונת
See also similar guidelines,Written,0,1,ראי גם הנחיות דומות,שנכתבו
First it invites legislation,Extensive,0,1,ראשית זה מזמין חקיקה,נרחבת
In any case now the value,Fine.,1,1,בכל מקרה עכשיו הערך,בסדר
Look at the change I made.,Recently,1,1,ראה את השינוי שעשיתי,לאחרונה
This is very important for all,Values,0,1,זה מאד חשוב לכל,הערכים
And then maybe you'd get,Answers,1,1,ואז אולי היית מקבל,תשובות
The Chinese are the professionals.,The Good,0,1,הסינים הם בעלי המקצוע,הטובים
On whether they are warriors,Or,1,1,על האם הם לוחמים,או
This was the case in the case of,Toole,0,1,כך היה במקרה של,טול
For a city you don't give,Map,1,1,בשביל עיר לא נותנים,מפה
At least there will be a lot of pictures.,and Values,1,1,ולפחות יהיו הרבה תמונות,וערכים
All were shot or,Bombs,1,1,כולם נפגעו מירי או,פצצות
There is no criterion that can,to be,1,1,אין שום קריטריון שיכול,להיות
Note that there is information,Many,0,1,שים לב שיש מידע,רב
Of course I don't see,In you,0,1,אני כמובן לא רואה,בך
Where is the boundary between,What?,1,1,ואיפה עובר הגבול בין,מה
And it is not better to create categories,More,0,1,ולא כדאי ליצור קטגוריות,יותר
Also on the schedule of,The Story,1,1,גם בלוח הזמנים של,הסיפור
"It can be pulled, but",Just,1,1,אפשר למשוך אותה אבל,רק
This causes random selection,of,1,1,זה גורם לבחירה אקראית,של
Not out of contempt because,If,1,1,לא מתוך זלזול כי,אם
When you say project why,You.,1,1,כשאתה אומר פרוייקט למה,אתה
I don't need to initiate,Vote,1,1,אני לא צריך ליזום,הצבעה
On Policy-Related Discussions,Wikipedia,1,1,על דיונים הקשורים למדיניות,ויקיפדיה
Anyway you have,Idea,1,1,בכל אופן יש לך,רעיון
It could be a link.,External,1,1,זה יכול להיות קישור,חיצוני
Can you give me,Example,1,1,אתה יכול לתת לי,דוגמה
Discussion of when it will open,Page,0,1,לדיון ההמלצה מתי יפתח,הדף
It turns out to be a new concept.,Relatively,1,1,מסתבר שזהו מושג חדש,יחסית
This is the largest collection of its kind.,In China,1,1,זהו האוסף הגדול מסוגו,בסין
Either that or I'll edit,Or,1,1,ככה או שאני אערוך,או
I personally think the page,Essential,1,1,אני אישית חושב שהדף,חיוני
"For example, if the name is young.",Score,0,1,למשל אם הכינוי צעירי,ציון
"However, his reign held",Less,1,1,למרות זאת שלטונו החזיק,פחות
Also petitioning the court,Top,0,1,גם עתירה לבית המשפט,העליון
Barnea also won the award,Education,0,1,ברנע זכה גם בפרס,החינוך
Can be expressed in conversation pages,Also,1,1,מותר להתבטא בדפי שיחה,גם
How to understand the text,You wrote,0,1,ואיך אפשר להבין מהטקסט,שכתבת
For the design work that I,Love,0,1,על עבודת עיצוב שאני,אוהב
I wrote her an explanation on the page,The Conversation,1,1,כתבתי לה הסבר בדף,השיחה
Most of his family were murdered.,In the Holocaust,1,1,מרבית בני משפחתו נרצחו,בשואה
It develops near before,The Ground,0,1,הוא מתפתח סמוך לפני,הקרקע
The fight sparked a debate that continued,Years,1,1,הקרב עורר ויכוח שנמשך,שנים
His claim has a number of flaws,In System,1,1,לטענתו יש מספר פגמים,במערכת
Around the symbol appear associations,Wheat,1,1,מסביב לסמל מופיעות אגודות,חיטה
Other examples can be found,In places,1,1,דוגמאות אחרות אפשר למצוא,במקומות
Following pressure also a proposal,This is,0,1,בעקבות לחץ גם הצעה,זו
Is this discussed,At the meeting,1,1,האם דובר על כך,בפגישה
The issue of neutrality is important.,More,0,1,העניין של נייטרליות חשוב,יותר
Medical problems being and requiring,Knowledge,1,1,רפואה בעייתי היות ודורש,ידע
See Virginia Woolf Mother,It's,1,1,ראו וירגיניה וולף האם,זה
In connection with the file I was able to open,Him,0,1,בקשר לקובץ הצלחתי לפתוח,אותו
Their goal is to face,In elections,1,1,ככל הנראה מטרתם להתמודד,בבחירות
Vice President John Tyler replaced,Him,0,1,סגנו גון טיילר החליף,אותו
"After the establishment of the state,",to be,1,1,לאחר קום המדינה המשיך,להיות
I'm just curious where,You.,1,1,אגב סתם מעניין מאיפה,אתה
Has he appeared since,In print,0,1,האם הוא הופיע מאז,בדפוס
The color of the eyes will be,Color,1,1,לרוב צבע העיניים יהיה,צבע
2 I don't know.,The expression,1,1,2 לא מכיר את,הביטוי
I'm asking for a continuance like,I asked,0,1,אני מבקש דחייה כמו,שביקשתי
First the genre itself amiable,Ali,1,1,ראשית הזאנר עצמו חביב,עלי
For the few who need to use,In her,1,1,בשביל המעטים שצריכים להשתמש,בה
Almost all of his works were taken out.,In Light,0,1,כמעט כל יצירותיו הוצאו,לאור
Link to other cases of,Diseases,1,1,קישור למקרים אחרים של,מחלות
There's three and a half here.,Users,1,1,יש כאן שלושה וחצי,משתמשים
A little after nine o'clock.,And half,1,1,קצת אחרי השעה תשע,וחצי
"In Israel, a conference is held.",Annually,1,1,בישראל מתקיים לזכרו כנס,שנתי
All that is now,In Tables,1,1,כל מה שנמצא עכשיו,בטבלאות
This action of Haggai,Adler,1,1,הפעולה הזו של חגי,אדלר
Only operators or also,Wikipedians,0,1,רק מפעילים או גם,ויקיפדים
The cutest creature I've ever been,Says,1,1,יצור חמוד ביותר הייתי,אומר
I demand academic sources.,And no,1,1,אני דורשת מקורות אקדמיים,ולא
For academic cooperation,In Research,1,1,לצורך שיתוף פעולה אקדמי,במחקר
Wikipedia is not exactly like,Book,1,1,ויקיפדיה איננה בדיוק כמו,ספר
"Beyond that, there are dozens.",Pages,1,1,מעבר לכך ישנם עשרות,עמודים
I think it's important to show perspective.,Wide,0,1,חשוב לדעתי להציג פרספקטיבה,רחבה
At least half of what is now,If,1,1,לפחות חצי ממה שעכשיו,אם
The issues are close but,Don't,0,1,הנושאים אמנם קרובים אך,לא
Search Engines Need to Overcome,About,0,1,מנועי החיפוש צריכים להתגבר,על
Reich died of a heart attack,In prison,1,1,רייך נפטר מהתקף לב,בכלא
In a community blog anyone,Can,1,1,בבלוג קהילתי כל אחד,יכול
The doctoral dissertation did an analysis,Psychological,1,1,עבודת הדוקטורט עשתה ניתוח,פסיכולוגי
It is about new values and not,About,0,1,מדובר בערכים חדשים ולא,על
"Therefore, it can be used",In the picture,1,1,אי לכך ניתן להשתמש,בתמונה
These experts also,Don't,0,1,כמו כן מומחים אלו,לא
Rewriting Mr. World Intention,Maybe.,1,1,שכתוב מר עולם הכוונה,אולי
"As a result, it falls on",Yoo,1,1,בעקבות כך נופלת על,יו
The method was developed by a professor,Park,0,1,השיטה פותחה עי פרופסור,פארק
This character is destined to develop,and be,1,1,דמות זו עתידה להתפתח,ולהיות
If the rules are not,Compatibility,0,1,אם הכללים לא יהיו,תואמים
What is a Senior Reporter?,And who,1,1,מה זה כתב בכיר,ומי
This is where Carole develops the,The Song,1,1,כאן מפתח קרול את,השיר
"As I said, I want there to be",Value,1,1,כאמור אני רוצה שיהיה,ערך
"First, there is a distinction between",Loyalty,1,1,ראשית יש להבדיל בין,נאמנות
He lived many years,And his family,0,1,הוא חי שנים רבות,ומשפחתו
Within a stream is a number,Factions,1,1,בתוך זרם זה מספר,פלגים
The civilian sparrow in the first stage,I am,1,1,האזרח דרור בשלב ראשון,אני
Ferdinand V of Castile,He is,0,1,פרדיננד החמישי מלך קסטיליה,הוא
Rules aimed at obtaining,Profit,1,1,חוקים שמטרתם הייתה השגת,רווח
I am not sure which,Change,1,1,לא ברור לי איזה,שינוי
The penalty for theft was,On the way,1,1,העונש על גניבה היה,בדרך
Why the Netherlands and not the United States?,Humiliation,1,1,למה הולנד ולא ארצות,השפלה
Itamar Shaltiel I also,Don't,0,1,איתמר שאלתיאל אני גם,לא
In the present case it is certainly,Don't,0,1,במקרה הנוכחי זה בהחלט,לא
For you as well as for the majority,Includes,1,1,מבחינתך וגם לדעת הרוב,כולל
Request two every two weeks,Don't,0,1,בקשה שתיים כל שבועיים,לא
It's been translated by,Avital,0,1,הוא תורגם על ידי,אביטל
Therefore there is no need to delete,Him,0,1,לכן לא צריך למחוק,אותו
I see an injury here.,Severe,0,1,אני רואה כאן פגיעה,חמורה
Better to wait until tomorrow.,In the evening,1,1,עדיף לחכות עד מחר,בערב
Acting Prime Minister,Ehud,1,1,ממלא מקום ראש הממשלה,אהוד
I think it is appropriate to present,Also,1,1,מן הראוי לדעתי להציג,גם
In the encyclopedia you can present positions,Miscellaneous,1,1,באנציקלופדיה אפשר להציג עמדות,שונות
Below is a breakdown of most,The Characters,1,1,להלן פירוט של מרבית,הדמויות
When to create categories,News,1,1,מתי כדאי ליצור קטגוריות,חדשות
As soon as the matter began it,Just,1,1,ברגע שהעניין התחיל זה,רק
The question is which priority,It's,1,1,השאלה היא איזה עדיפות,זה
By the way we have a project,Type,0,1,אגב יש לנו פרויקט,מסוג
3 The memory of the Holocaust is,Important,1,1,3 זכר השואה הוא,חשוב
I still think it's,Idea,1,1,אני עדיין חושב שזה,רעיון
I think they're just,Declared,0,1,אני חושב שהם רק,הכריזו
"During the war, approximately",1,1,1,במהלך המלחמה נהרגו כ,1
"It is an important value, but",The wording,1,1,אכן ערך חשוב אך,הניסוח
Philip was not crowned alongside,Elizabeth,1,1,פיליפ לא הוכתר לצד,אליזבת
Within the group members took place,Struggle,1,1,בתוך חבר הקבוצות התקיים,מאבק
Also in External Links,There is,1,1,כמו כן בקישורים חיצוניים,יש
There are known Louis phenomena,And people,1,1,קיימות תופעות לואי ידועות,ואנשים
Please note that you can,to be,1,1,בקשה ערן אתה יכול,להיות
As for this co-author,Just,1,1,לגבי כתיבה משותפת זה,רק
There is no technical way to delete,Just,1,1,אין דרך טכנית למחוק,רק
I think every science professor,The wind,1,1,לדעתי כל פרופסור במדעי,הרוח
The building also has a center.,Shopping,1,1,בבניין יש גם מרכז,קניות
The cut area is the area,of,1,1,שטח חתך הוא השטח,של
In many works written by composers,These,1,1,ביצירות רבות שכתבו מלחינים,אלה
You know what history,There is,1,1,אתה יודע איזה הסטוריה,יש
During his military service he served,In the band,1,1,במהלך שירותו הצבאי שירת,בלהקה
"Anyway, I'm not.",Think,0,1,בכל מקרה אני לא,חושב
If it needs to be deleted,So?,1,1,אם זה צריך להימחק,אז
It does not matter if the claim,Correct,0,1,לא חשוב אם הטענה,נכונה
But in principle his answer on the subject,She,1,1,אך עקרונית תשובתו בנושא,היא
Public Policy Researchers Vote,About,0,1,חוקרי מדיניות ציבורית מצביעים,על
We give the option,of,1,1,אנחנו נותנים את האופציה,של
After his father left,Family,0,1,אחרי שאביו עזב את,המשפחה
Group of Town Builders Company,Ashdod,1,1,קבוצת בוני ערים חברת,אשדוד
Sports portal Basketball portal,Portal,0,1,פורטל הספורט פורטל הכדורסל,פורטל
The certificate is issued by the Association.,International,0,1,התעודה ניתנת מטעם האיגוד,הבינלאומי
What poets do you read?,Recently,1,1,ואילו משוררים אתה קורא,לאחרונה
"Due to his criminal record, he was removed.",Against him,1,1,בשל עברו הפלילי הוצא,נגדו
Came in fourth place on the charts,Sales,0,1,הגיע למקום רביעי במצעד,המכירות
I also brought in the end.,Sources,1,1,אגב הבאתי בסוף גם,מקורות
But I don't understand,How,1,1,אבל אני לא מבין,איך
I've looked at the version pages,of,1,1,אני עיינתי בדפי הגרסאות,של
In a children's game for each participant,There is,1,1,במשחק ילדים לכל משתתף,יש
Easy to play with words but,It's,1,1,קל לשחק במילים אבל,זה
Hence both you and,Uncle,1,1,מכאן שגם אתה וגם,דוד
"In the Islamic countries, too, they wrote",The Rabbis,1,1,גם בארצות האסלאם כתבו,הרבנים
Objections to the wording were also raised,The Covenant,0,1,עלו גם התנגדויות לנוסח,האמנה
Before High School Graduation,Caught,1,1,לפני טקס סיום התיכון,נתפס
Any value can be written,Nonsense,1,1,בכל ערך אפשר לכתוב,שטויות
Emergency stairs can be,Also,1,1,מדרגות חירום יכולות להיות,גם
The work presents many images,Appeared,0,1,היצירה מציגה דימויים רבים,שהופיעו
Wells also acted in the film,In office,0,1,ולס גם שיחק בסרט,בתפקיד
You are a miracle.,Day,1,1,מעלים על נס את,יום
As for the date I set it,After,0,1,אשר לתאריך השבתי אותו,לאחר
No need to waste time.,In Transition,0,1,אין צורך לבזבז זמן,במעבר
The Brenner Residence and Friends Center,Youth,0,1,משכן ברנר וחבריו מרכז,הנוער
In the eyes of the readership Link,External,1,1,בעיני ציבור הקוראים קישור,חיצוני
Therefore there are no values,Positive,0,1,על כן אין ערכים,חיוביים
Biography Mike Burstein was born,His Sons,1,1,ביוגרפיה מייק בורשטיין נולד,בניו
Most of his education was,Jackson.,1,1,את מרבית השכלתו השיג,גקסון
If the goal is to get,Answers,1,1,אם המטרה היא לקבל,תשובות
It is about,Uruguay,0,1,הכוונה היא בערך על,אורוגוואי
Why the other four pictures,Removed,0,1,מדוע ארבעת התמונות האחרות,הוסרו
I didn't think you were updating,Currently,1,1,לא חשבתי שאתה מעדכן,כרגע
Most Important Wikipedia Community,Decided,0,1,הכי חשוב קהילת ויקיפדיה,החליטה
Believe me I wish all,Values,0,1,תאמין לי הלוואי שכל,הערכים
The comment was not intended to hurt,And she,1,1,ההערה לא כוונה לפגוע,והיא
Everyone can claim that they,In favor,1,1,כולם יכולים לטעון שהם,בעד
It's a shame to waste time on,The wiki,0,1,חבל לבזבז זמן על,הויקי
It will be difficult to establish something.,Specific,1,1,יהיה קשה לבסס משהו,ספציפי
Delete all values,I wrote,0,1,תמחוק את כל הערכים,שכתבתי
Remove Image I'm Interested,Remove,0,1,הסרת תמונה אני מעוניין,להסיר
Too bad to retire in a total wiki,She,1,1,חבל לפרוש בסהכ ויקי,היא
The warmest time of,This year,1,1,הזמן החם ביותר של,השנה
But please allow it.,For others,1,1,אבל אנא אפשר זאת,לאחרים
Yuri decided that he had,Right,0,1,החליט יורי שיש לו,זכות
In the default English wiki,She,1,1,בויקי באנגלית ברירת המחדל,היא
Next to the beach opens,Park,0,1,לצד חוף הים נפתח,פארק
"However, wars continued.",In the area,1,1,עם זאת נמשכו מלחמות,באזור
Right to vote for internal parliament,It's,1,1,זכות הצבעה לפרלמנט פנימי,זה
It's like not erasing.,Value,1,1,זה כמו שלא מוחקים,ערך
The shape of Finland is reminiscent,Adam,1,1,צורתה של פינלנד מזכירה,אדם
Value in accordance with existing policy,Up to,1,1,הערך בהתאם למדיניות הקיימת,עד
Of course it didn't apply.,About,0,1,ודאי שזה לא חל,על
If not expanded I will be forced,Delete,0,1,אם לא יורחב אאלץ,למחוק
I put the pattern in following,Request,1,1,שמתי את התבנית בעקבות,בקשה
Is it allowed to make changes?,Or,1,1,האם מותר להכניס שינויים,או
Blocking for good should remain,Just,1,1,חסימה לתמיד צריכה להישאר,רק
You can't read,Because,0,1,אתה לא מצליח לקרוא,כי
There are many other examples,For problems,1,1,יש דוגמאות רבות אחרות,לבעיות
The event was filmed by,Photographer,1,1,האירוע צולם על ידי,צלם
Public Act as an Educator,Looks,1,1,פועלו הציבורי כאיש חינוך,נראה
Your proposal to expand nicely,Very,1,1,הצעתך להרחיב קצרמרים יפה,מאוד
The problem is that this is how he,does,0,1,הבעיה היא שככה הוא,עושה
Jehovah’s Witnesses Showcases in Studies,In frame,1,1,עדי יהוה מופעים במחקרים,במסגרת
Don't delete either.,You.,0,1,אל נא תמחק גם,את
If a book is missing,Number,1,1,אם חסר שם ספר,מספר
"In Islam, it is forbidden to eat.",Meat,1,1,גם באסלאם אסור לאכול,בשר
But the coalition against Philip,Yet,1,1,אך הקואליציה נגד פיליפ,עדיין
The discussion of the picture of Tuvia Grossman,Less,1,1,הדיון בתמונת טוביה גרוסמן,פחות
If you need help,Feel,1,1,אם אתה צריך עזרה,תרגיש
If you think it is,Don't,0,1,אם אתה חושב שזה,לא
Cambodia is now a monarchy,Constitutional,0,1,קמבודיה כיום היא מונרכיה,חוקתית
No free license required,In the picture,1,1,אין חובה ברשיון חופשי,בתמונה
I will delete Bar Refaeli,Now,1,1,את בר רפאלי אמחק,עכשיו
"In this battle, they were killed or",Taken,0,1,בקרב זה נהרגו או,נלקחו
On the other hand I am not,Succeeds,0,1,מצד שני אני לא,מצליח
It was headed by a German named,Cooper,1,1,בראשה עמד גרמני בשם,קופר
Can you point to a field,Other,1,1,התוכל להצביע על תחום,אחר
Debate over what has been deleted,There was,1,1,הויכוח על מה שנמחק,היה
Anyone who wants to know more,Passing,1,1,מי שרוצה לדעת עוד,עובר
In the guidelines for why,Worthy,1,1,ב קווים מנחים למה,ראוי
A quarter of this area is,Flat,1,1,רבע מהשטח הזה זה,שטוח
Studied at Leo School,Beck,1,1,למד בבית הספר ליאו,בק
Well then it's already,Three.,1,1,טוב אז זה כבר,שלוש
Eli P is not registered,In His Name,1,1,אלי פ לא נרשם,בשמו
The point is that there is currently no,Categories,1,1,הנקודה היא שאין כרגע,קטגוריות
Thank you very much if,Restore,0,1,אודה לך מאד אם,תשחזר
But since it is expected,Sugar,1,1,אך מכיוון שהוא מצופה,סוכר
All things have always,Source,1,1,לכל הדברים יש תמיד,מקור
I wrote the value but,Now,1,1,כתבתי את הערך אך,עכשיו
Question about specific value,There is,1,1,שאלה לגבי ערך ספציפי,יש
You're going to delete dozens,Points,1,1,אתה מתכוון למחוק עשרות,נקודות
There's a closed discussion buffet,About,0,1,יש במזנון דיון סגור,על
Or if it's not,Jewish,1,1,או אם מדובר בלא,יהודי
The term implies a known term,Other,1,1,המונח מרמז למונח ידוע,אחר
"To the best of my knowledge, no portal",Ino,0,1,למיטב ידיעתי אף פורטל,אינו
There is a reasonable way to do,Things,1,1,יש דרך סבירה לעשות,דברים
It can happen too.,In the Sand,1,1,זה יכול לקרות גם,בחול
The Fall of the Death of,Charles,1,1,נפילת חרטום מותו של,צארלס
In quoting verses I do not,See?,1,1,בציטוט פסוקים אני לא,רואה
What We All Know and Why,He is,0,1,מה כולנו יודעים ומדוע,הוא
I didn't add external links,Because,0,1,לא הוספתי קישורים חיצוניים,כי
Someone takes care to warn about,Responsibility,1,1,מישהו דואג להזהיר על,אחריות
The site seems to have replaced,Address,1,1,נראה כאילו האתר החליף,כתובת
If he did not return,Intentionally,1,1,אם לא חזר בו,בכוונה
At the western end of the avenue,Found,1,1,בקצה המערבי של השדרה,נמצא
There is no end and there is no,To this,0,1,אין לזה סוף ואין,לזה
We could happily meet in,Two Weeks,1,1,נוכל בשמחה להיפגש בעוד,שבועיים
You weren't supposed to.,Write,0,1,צה לא היית אמור,לכתוב
I'm having trouble finding a way,Legally,0,1,אני מתקשה למצוא דרך,חוקית
"During this time, the family moved",Moscow,0,1,בתקופה זו המשפחה עברה,למוסקבה
The question is whether they,Important,0,1,השאלה היא האם הם,חשובים
Water in culture also indicates,Flow,1,1,מים בתרבות מציינים גם,זרימה
Have you opened such a page,She,1,1,האם פתיחת דף כזה,היא
If it is urgent I,Can,1,1,אם זה דחוף אני,יכול
Rare People's Celebrations,Lonely,0,1,חגיגות נדירות של אנשים,בודדים
The term also developed some,Meanings,1,1,המונח פיתח גם כמה,משמעויות
On Aganda and Main Actions,I am,1,1,על אגנדה ופעולות עיקריות,אני
It seems to be a kind of business.,Private,1,1,נראה שזהו מעין עסק,פרטי
There will always be users.,New,0,1,הרי תמיד יהיו משתמשים,חדשים
It had to be,Axis,1,1,זה היה חייב להיות,ציר
General Bernard Lou Montgomery,Parent,1,1,הגנרל ברנרד לו מונטגומרי,הורה
Can we conclude that the picture,The first,0,1,האם אפשר להסיק שהתמונה,הראשונה
The colonies were an economic burden,About,0,1,המושבות היוו נטל כלכלי,על
As requested I entered the archive,Yours,1,1,כפי שביקשת נכנסתי לארכיון,שלך
